City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mahebourg,MU,73.69,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
6,Namibe,AO,71.4,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
9,East London,ZA,71.85,light rain,-33.0153,27.9116,Tu Casa
11,Moron,AR,79.02,broken clouds,-34.6534,-58.6198,Hotel Morón
14,Port Hedland,AU,87.85,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
17,Viedma,AR,73.99,broken clouds,-40.8135,-62.9967,Hotel Cristal
19,Salalah,OM,71.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
21,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
25,Arraial Do Cabo,BR,76.69,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
28,Avarua,CK,73.45,heavy intensity rain,-21.2078,-159.775,Paradise Inn
31,Alta Floresta,BR,73.89,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
34,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
35,Vaini,TO,82.56,light rain,-21.2,-175.2,Keleti Beach Resort
45,Atuona,PF,79.11,few clouds,-9.8,-139.0333,Villa Enata
50,Bajil,YE,75.04,clear sky,15.0584,43.2851,فندق حضرموت
52,Bengkulu,ID,74.77,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
55,Rikitea,PF,77.65,light rain,-23.1203,-134.9692,People ThankYou
57,Itarema,BR,80.64,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
60,Port Elizabeth,ZA,71.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
62,Guanare,VE,80.46,broken clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
64,Butaritari,KI,82.62,broken clouds,3.0707,172.7902,Isles Sunset Lodge
66,Rondonopolis,BR,75.87,overcast clouds,-16.4708,-54.6356,Serras Hotel
72,Souillac,MU,73.78,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
73,Hilo,US,79.11,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
79,Mandera,KE,84.97,overcast clouds,3.9366,41.867,Mwalimu Guest mandera
