City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mahebourg,MU,-20.4081,57.7,73.69,88,75,3.44,broken clouds
1,Punta Arenas,CL,-53.15,-70.9167,48.31,37,0,17.27,clear sky
2,Aykhal,RU,66.0,111.5,-49.59,100,98,6.08,overcast clouds
3,Busselton,AU,-33.65,115.3333,55.09,60,100,8.81,overcast clouds
4,Leningradskiy,RU,69.3833,178.4167,-31.25,91,3,4.41,clear sky
5,Tessalit,ML,20.1986,1.0114,69.76,9,14,8.93,few clouds
6,Namibe,AO,-15.1961,12.1522,71.4,77,53,5.46,broken clouds
7,Bluff,NZ,-46.6,168.3333,64.8,71,22,7.27,few clouds
8,Chuy,UY,-33.6971,-53.4616,68.59,76,0,13.0,light rain
9,East London,ZA,-33.0153,27.9116,71.85,95,100,7.87,light rain
10,Hay River,CA,60.8156,-115.7999,-4.02,77,75,8.05,broken clouds
11,Moron,AR,-34.6534,-58.6198,79.02,71,84,5.44,broken clouds
12,Nuuk,GL,64.1835,-51.7216,20.01,79,7,18.41,clear sky
13,Zanjan,IR,36.6736,48.4787,37.78,57,0,2.86,clear sky
14,Port Hedland,AU,-20.3167,118.5667,87.85,70,40,11.5,scattered clouds
15,Albany,US,42.6001,-73.9662,39.81,46,0,9.08,clear sky
16,Pisco,PE,-13.7,-76.2167,68.05,83,40,16.11,scattered clouds
17,Viedma,AR,-40.8135,-62.9967,73.99,17,62,18.3,broken clouds
18,New Norfolk,AU,-42.7826,147.0587,65.91,45,11,3.0,few clouds
19,Salalah,OM,17.0151,54.0924,71.69,43,0,6.91,clear sky
20,Cape Town,ZA,-33.9258,18.4232,66.61,78,0,1.99,clear sky
21,Kapaa,US,22.0752,-159.319,80.58,74,40,4.0,light rain
22,Solton,RU,52.8429,86.4787,2.77,99,94,4.0,overcast clouds
23,Chernyshevskiy,RU,63.0128,112.4714,-24.45,96,100,5.55,overcast clouds
24,Semnan,IR,35.5729,53.3971,42.51,45,0,3.44,clear sky
25,Arraial Do Cabo,BR,-22.9661,-42.0278,76.69,89,86,22.39,overcast clouds
26,Severnoye,RU,56.3491,78.3619,10.33,96,100,5.57,light snow
27,Olafsvik,IS,64.8945,-23.7142,41.88,89,99,19.73,overcast clouds
28,Avarua,CK,-21.2078,-159.775,73.45,94,90,4.61,heavy intensity rain
29,Yellowknife,CA,62.456,-114.3525,8.56,89,90,8.05,light snow
30,Tasiilaq,GL,65.6145,-37.6368,37.56,80,100,16.96,light rain
31,Alta Floresta,BR,-9.8756,-56.0861,73.89,93,93,1.99,overcast clouds
32,Lebu,CL,-37.6167,-73.65,56.37,67,4,8.95,clear sky
33,Port-Cartier,CA,50.0334,-66.8654,28.74,68,65,20.74,broken clouds
34,Denpasar,ID,-8.65,115.2167,80.26,88,40,5.75,scattered clouds
35,Vaini,TO,-21.2,-175.2,82.56,83,40,12.66,light rain
36,Ushuaia,AR,-54.8,-68.3,44.26,53,40,27.63,scattered clouds
37,Oxelosund,SE,58.6706,17.1015,30.58,99,90,4.61,fog
38,Nouadhibou,MR,20.931,-17.0347,66.18,72,0,20.71,clear sky
39,Nevel,RU,56.0209,29.9284,32.67,98,100,5.21,overcast clouds
40,Tricase,IT,39.9304,18.3553,46.31,68,97,21.32,overcast clouds
41,Mataura,NZ,-46.1927,168.8643,64.47,42,59,3.27,broken clouds
42,Zhezkazgan,KZ,47.8043,67.7144,18.14,94,100,17.11,light snow
43,Norman Wells,CA,65.282,-126.8329,-2.16,71,75,9.22,light snow
44,Asau,RO,46.4333,26.4,37.96,86,100,3.36,overcast clouds
45,Atuona,PF,-9.8,-139.0333,79.11,78,15,18.97,few clouds
46,Igarka,RU,67.4667,86.5833,-16.87,90,100,2.95,overcast clouds
47,Krasnovka,RU,48.8177,40.0923,29.71,54,100,17.22,overcast clouds
48,Flin Flon,CA,54.7682,-101.865,10.24,92,90,4.61,overcast clouds
49,Bethel,US,41.3712,-73.414,43.57,49,1,3.44,clear sky
50,Bajil,YE,15.0584,43.2851,75.04,66,0,4.07,clear sky
51,Nanortalik,GL,60.1432,-45.2371,21.69,78,27,4.99,scattered clouds
52,Bengkulu,ID,-3.8004,102.2655,74.77,88,100,3.8,overcast clouds
53,Kaitangata,NZ,-46.2817,169.8464,60.93,66,62,5.19,broken clouds
54,Ribeira Grande,PT,38.5167,-28.7,58.69,53,100,18.77,overcast clouds
55,Rikitea,PF,-23.1203,-134.9692,77.65,76,87,8.63,light rain
56,Bereda,ES,43.2686,-7.5406,44.58,100,74,1.88,broken clouds
57,Itarema,BR,-2.9248,-39.9167,80.64,79,38,15.41,scattered clouds
58,Awjilah,LY,29.1081,21.2869,54.46,76,2,8.55,clear sky
